,Feature,MDI
0,review_scores_cleanliness,0.335406982131392
1,review_scores_location,0.11845874160299015
2,price,0.06774466169195259
3,description,0.06461557862919035
4,amenities,0.05968973949098694
5,neighborhood_overview,0.04686702280607839
6,host_about,0.0414087029591509
7,host_is_superhost_TRUE,0.035597691136077934
8,host_verifications,0.03489640848304731
9,host_acceptance_rate,0.03304566025707144
10,maximum_nights,0.0317385496228244
11,minimum_nights,0.027776864576709005
12,beds,0.024317178108681597
13,host_response_rate,0.018611758381400893
14,bedrooms,0.01774188767566931
15,bathrooms_text,0.01574932472937124
16,host_response_time,0.009814449683975863
17,room_type,0.008609655052362327
18,instant_bookable_TRUE,0.007200042814540668
19,host_has_profile_pic_TRUE,0.0007091001665267381
