,Feature,MDI
0,price,0.13336387528598426
1,description,0.12892015764460302
2,amenities,0.11379629277470489
3,neighborhood_overview,0.08835000112519992
4,host_about,0.07678828087089327
5,host_is_superhost_TRUE,0.06347095804782257
6,host_verifications,0.06194061018001131
7,host_acceptance_rate,0.05833625763291879
8,maximum_nights,0.054739711609421114
9,minimum_nights,0.049920817609575896
10,beds,0.04090507240886297
11,host_response_rate,0.02994012382899876
12,bedrooms,0.029767818068475765
13,bathrooms_text,0.028385298634215173
14,host_response_time,0.016229935391468435
15,room_type,0.013922001730410439
16,instant_bookable_TRUE,0.010012980910532508
17,host_has_profile_pic_TRUE,0.0012098062459009456
